ParameterName,GroupId,GroupName,DataType,Visible,Discipline,CategorySet,RevitCategories,BindingScope,BindingType,ParameterGroup,Priority,Description,ApplicationNote,AlternativeNote
TR_DuvarYalitimTipi,11,TR-DUVAR ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Walls,Walls,Project Parameter - Category Set,Type,Identity Data,Yüksek,Isı yalıtım tipi ve kalınlığı,Duvar tip özellikleri tip bazında bağlanmalıdır.,
TR_DuvarREI,11,TR-DUVAR ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Walls,Walls,Project Parameter - Category Set,Type,Identity Data,Yüksek,Yangın direnç sınıfı REI-30/60/90/120,Duvar tip özellikleri tip bazında bağlanmalıdır.,
TR_DuvarSesYalitim,11,TR-DUVAR ÖZELLİKLERİ,NUMBER,Evet,Mimari,Architecture - Walls,Walls,Project Parameter - Category Set,Type,Identity Data,Yüksek,Ses yalıtım değeri Rw (dB),Duvar tip özellikleri tip bazında bağlanmalıdır.,
TR_DuvarUDegeri,11,TR-DUVAR ÖZELLİKLERİ,NUMBER,Evet,Mimari,Architecture - Walls,Walls,Project Parameter - Category Set,Type,Dimensions,Yüksek,U değeri (W/m2K),Duvar tip özellikleri tip bazında bağlanmalıdır.,
TR_DuvarDisKaplama,11,TR-DUVAR ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Walls,Walls,Project Parameter - Category Set,Type,Identity Data,Yüksek,Dış kaplama malzemesi,Duvar tip özellikleri tip bazında bağlanmalıdır.,
TR_DuvarIcKaplama,11,TR-DUVAR ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Walls,Walls,Project Parameter - Category Set,Type,Identity Data,Yüksek,İç kaplama malzemesi,Duvar tip özellikleri tip bazında bağlanmalıdır.,
TR_DuvarPozNo,11,TR-DUVAR ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Walls,Walls,Project Parameter - Category Set,Type,Identity Data,Yüksek,ÇŞB poz numarası,Duvar tip özellikleri tip bazında bağlanmalıdır.,
TR_KapiTipi,12,TR-KAPI ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Kapı tipi: Ahşap/Çelik/Alüm/Cam/PVC,Kapı tip özellikleri tip bazında bağlanmalıdır.,
TR_KapiGenislik,12,TR-KAPI ÖZELLİKLERİ,LENGTH,Evet,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Dimensions,Yüksek,Kapı serbest geçiş genişliği (mm),Kapı tip özellikleri tip bazında bağlanmalıdır.,
TR_KapiYukseklik,12,TR-KAPI ÖZELLİKLERİ,LENGTH,Evet,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Dimensions,Yüksek,Kapı yüksekliği (mm),Kapı tip özellikleri tip bazında bağlanmalıdır.,
TR_KapiYangınSinifi,12,TR-KAPI ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Fire Protection,Yüksek,Yangın sınıfı: EI30/EI60/EI90/EI120,Kapı tip özellikleri tip bazında bağlanmalıdır.,
TR_KapiEngelli,12,TR-KAPI ÖZELLİKLERİ,YESNO,Evet,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Engelliye uygun kapı mı? (TS 9111),Kapı tip özellikleri tip bazında bağlanmalıdır.,
TR_KapiPanikBar,12,TR-KAPI ÖZELLİKLERİ,YESNO,Evet,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Panik bar var mı?,Kapı tip özellikleri tip bazında bağlanmalıdır.,
TR_KapiAcilisYonu,12,TR-KAPI ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Açılış yönü: İçe/Dışa/Sürgülü/Döner,Kapı tip özellikleri tip bazında bağlanmalıdır.,
TR_KapiKilitTipi,12,TR-KAPI ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Kilit tipi ve aksesuar bilgisi,Kapı tip özellikleri tip bazında bağlanmalıdır.,
TR_KapiUretici,12,TR-KAPI ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Üretici firma ve ürün kodu,Kapı tip özellikleri tip bazında bağlanmalıdır.,
TR_KapiPozNo,12,TR-KAPI ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Identity Data,Yüksek,ÇŞB poz numarası,Kapı tip özellikleri tip bazında bağlanmalıdır.,
TR_KapiUDegeri,12,TR-KAPI ÖZELLİKLERİ,NUMBER,Evet,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Dimensions,Yüksek,Kapı Ud değeri (W/m2K),Kapı tip özellikleri tip bazında bağlanmalıdır.,
TR_KapiSesYalitim,12,TR-KAPI ÖZELLİKLERİ,NUMBER,Evet,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Ses yalıtım değeri Rw (dB),Kapı tip özellikleri tip bazında bağlanmalıdır.,
TR_PencereTipi,13,TR-PENCERE ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Windows,"Windows, Curtain Panels",Project Parameter - Category Set,Type,Identity Data,Yüksek,Pencere tipi: Alüm/PVC/Ahşap/Cam Giyd,Pencere tip özellikleri tip bazında bağlanmalıdır.,
TR_PencereGenislik,13,TR-PENCERE ÖZELLİKLERİ,LENGTH,Evet,Mimari,Architecture - Windows,"Windows, Curtain Panels",Project Parameter - Category Set,Type,Dimensions,Yüksek,Pencere genişliği (mm),Pencere tip özellikleri tip bazında bağlanmalıdır.,
TR_PencereYukseklik,13,TR-PENCERE ÖZELLİKLERİ,LENGTH,Evet,Mimari,Architecture - Windows,"Windows, Curtain Panels",Project Parameter - Category Set,Type,Dimensions,Yüksek,Pencere yüksekliği (mm),Pencere tip özellikleri tip bazında bağlanmalıdır.,
TR_PencereCamTipi,13,TR-PENCERE ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Windows,"Windows, Curtain Panels",Project Parameter - Category Set,Type,Identity Data,Yüksek,Cam tipi: Isıcam 4+16+4 vb,Pencere tip özellikleri tip bazında bağlanmalıdır.,
TR_PencereUDegeri,13,TR-PENCERE ÖZELLİKLERİ,NUMBER,Evet,Mimari,Architecture - Windows,"Windows, Curtain Panels",Project Parameter - Category Set,Type,Dimensions,Yüksek,Uw değeri (W/m2K) TS 825,Pencere tip özellikleri tip bazında bağlanmalıdır.,
TR_PencereSHGC,13,TR-PENCERE ÖZELLİKLERİ,NUMBER,Evet,Mimari,Architecture - Windows,"Windows, Curtain Panels",Project Parameter - Category Set,Type,Identity Data,Yüksek,Güneş ısı kazanım katsayısı SHGC/g,Pencere tip özellikleri tip bazında bağlanmalıdır.,
TR_PencereAcilmaTipi,13,TR-PENCERE ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Windows,"Windows, Curtain Panels",Project Parameter - Category Set,Type,Identity Data,Yüksek,Açılma tipi: Sabit/Kanatlı/Sürgülü,Pencere tip özellikleri tip bazında bağlanmalıdır.,
TR_PencereCerceveSistemi,13,TR-PENCERE ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Windows,"Windows, Curtain Panels",Project Parameter - Category Set,Type,Identity Data,Yüksek,Çerçeve sistemi (60mm/70mm/80mm sistem),Pencere tip özellikleri tip bazında bağlanmalıdır.,
TR_PencereSesYalitim,13,TR-PENCERE ÖZELLİKLERİ,NUMBER,Evet,Mimari,Architecture - Windows,"Windows, Curtain Panels",Project Parameter - Category Set,Type,Identity Data,Yüksek,Ses yalıtım değeri Rw (dB),Pencere tip özellikleri tip bazında bağlanmalıdır.,
TR_PencerePozNo,13,TR-PENCERE ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Windows,"Windows, Curtain Panels",Project Parameter - Category Set,Type,Identity Data,Yüksek,ÇŞB poz numarası,Pencere tip özellikleri tip bazında bağlanmalıdır.,
TR_PencereUretici,13,TR-PENCERE ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Windows,"Windows, Curtain Panels",Project Parameter - Category Set,Type,Identity Data,Yüksek,Üretici firma ve ürün kodu,Pencere tip özellikleri tip bazında bağlanmalıdır.,
TR_PencereEmniyet,13,TR-PENCERE ÖZELLİKLERİ,YESNO,Evet,Mimari,Architecture - Windows,"Windows, Curtain Panels",Project Parameter - Category Set,Type,Identity Data,Yüksek,Emniyet camı var mı? (lamine/temperli),Pencere tip özellikleri tip bazında bağlanmalıdır.,
TR_DosemeTipi,14,TR-DÖŞEME ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Floors,Floors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Döşeme tipi: Betonarme/Kompozit/Ahşap,Döşeme tip özellikleri tip bazında bağlanmalıdır.,
TR_DosemeKalinligi,14,TR-DÖŞEME ÖZELLİKLERİ,LENGTH,Evet,Mimari,Architecture - Floors,Floors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Döşeme toplam kalınlığı (mm),Döşeme tip özellikleri tip bazında bağlanmalıdır.,
TR_DosemeKaplama,14,TR-DÖŞEME ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Floors,Floors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Kaplama malzemesi: Seramik/Granit/Ahşap,Döşeme tip özellikleri tip bazında bağlanmalıdır.,
TR_DosemeREI,14,TR-DÖŞEME ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Floors,Floors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Yangın direnç sınıfı REI,Döşeme tip özellikleri tip bazında bağlanmalıdır.,
TR_DosemeSuYalitim,14,TR-DÖŞEME ÖZELLİKLERİ,YESNO,Evet,Mimari,Architecture - Floors,Floors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Su yalıtımı var mı?,Döşeme tip özellikleri tip bazında bağlanmalıdır.,
TR_DosemeIsıYalitim,14,TR-DÖŞEME ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Floors,Floors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Isı yalıtım tipi ve kalınlığı,Döşeme tip özellikleri tip bazında bağlanmalıdır.,
TR_DosemeUDegeri,14,TR-DÖŞEME ÖZELLİKLERİ,NUMBER,Evet,Mimari,Architecture - Floors,Floors,Project Parameter - Category Set,Type,Dimensions,Yüksek,U değeri (W/m2K),Döşeme tip özellikleri tip bazında bağlanmalıdır.,
TR_DosemeSesYalitim,14,TR-DÖŞEME ÖZELLİKLERİ,NUMBER,Evet,Mimari,Architecture - Floors,Floors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Ses yalıtım değeri (dB),Döşeme tip özellikleri tip bazında bağlanmalıdır.,
TR_DosemePozNo,14,TR-DÖŞEME ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Floors,Floors,Project Parameter - Category Set,Type,Identity Data,Yüksek,ÇŞB poz numarası,Döşeme tip özellikleri tip bazında bağlanmalıdır.,
TR_DosemeYukKapasitesi,14,TR-DÖŞEME ÖZELLİKLERİ,NUMBER,Evet,Mimari,Architecture - Floors,Floors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Tasarım yük kapasitesi (kN/m2),Döşeme tip özellikleri tip bazında bağlanmalıdır.,
TR_CatiTipi,15,TR-ÇATI ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Roofs,Roofs,Project Parameter - Category Set,Type,Identity Data,Yüksek,Çatı tipi: Eğimli/Düz/Yeşil/Kombine,Çatı tip özellikleri tip bazında bağlanmalıdır.,
TR_CatiEgimi,15,TR-ÇATI ÖZELLİKLERİ,NUMBER,Evet,Mimari,Architecture - Roofs,Roofs,Project Parameter - Category Set,Type,Dimensions,Yüksek,Çatı eğimi (%),Çatı tip özellikleri tip bazında bağlanmalıdır.,
TR_CatiKaplama,15,TR-ÇATI ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Roofs,Roofs,Project Parameter - Category Set,Type,Identity Data,Yüksek,Çatı kaplama malzemesi,Çatı tip özellikleri tip bazında bağlanmalıdır.,
TR_CatiSuYalitim,15,TR-ÇATI ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Roofs,Roofs,Project Parameter - Category Set,Type,Identity Data,Yüksek,Su yalıtım sistemi tipi,Çatı tip özellikleri tip bazında bağlanmalıdır.,
TR_CatiIsıYalitim,15,TR-ÇATI ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Roofs,Roofs,Project Parameter - Category Set,Type,Identity Data,Yüksek,Isı yalıtım tipi ve kalınlığı,Çatı tip özellikleri tip bazında bağlanmalıdır.,
TR_CatiUDegeri,15,TR-ÇATI ÖZELLİKLERİ,NUMBER,Evet,Mimari,Architecture - Roofs,Roofs,Project Parameter - Category Set,Type,Dimensions,Yüksek,U değeri (W/m2K),Çatı tip özellikleri tip bazında bağlanmalıdır.,
TR_CatiREI,15,TR-ÇATI ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Roofs,Roofs,Project Parameter - Category Set,Type,Identity Data,Yüksek,Yangın direnç sınıfı REI,Çatı tip özellikleri tip bazında bağlanmalıdır.,
TR_CatiPozNo,15,TR-ÇATI ÖZELLİKLERİ,TEXT,Evet,Mimari,Architecture - Roofs,Roofs,Project Parameter - Category Set,Type,Identity Data,Yüksek,ÇŞB poz numarası,Çatı tip özellikleri tip bazında bağlanmalıdır.,
TR_TS500_StandartSurum,16,TR-TS500 GENEL BETONARME,TEXT,Evet,Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,TS 500 sürümü (TS 500:2000+A1:2018),TS500 proje üst verileri proje seviyesinde tutulmalıdır.,
TR_BetonSinifi_Proje,16,TR-TS500 GENEL BETONARME,TEXT,Evet,Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Projede kullanılan beton sınıfları (C25/30 vb),TS500 proje üst verileri proje seviyesinde tutulmalıdır.,
TR_DonatiCeligiSinifi_Proje,16,TR-TS500 GENEL BETONARME,TEXT,Evet,Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Donatı çeliği sınıfı (B420C / B500C),TS500 proje üst verileri proje seviyesinde tutulmalıdır.,
TR_CevreEtkiSinifi,16,TR-TS500 GENEL BETONARME,TEXT,Evet,Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Çevre etki sınıfı (XC1-XC4 / XS / XD / XF),TS500 proje üst verileri proje seviyesinde tutulmalıdır.,
TR_YapiTasiyiciSistemSinifi,16,TR-TS500 GENEL BETONARME,TEXT,Evet,Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Taşıyıcı sistem sınıfı (TBDY: BYS-1..8),TS500 proje üst verileri proje seviyesinde tutulmalıdır.,
TR_AnalizYontemi,16,TR-TS500 GENEL BETONARME,TEXT,Evet,Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Analiz yöntemi (Mod Birlest./Zaman Tanım/İtme),TS500 proje üst verileri proje seviyesinde tutulmalıdır.,
TR_StatikModelVersiyonu,16,TR-TS500 GENEL BETONARME,TEXT,Evet,Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Statik model versiyon no (SAP2000/ETABS vb),TS500 proje üst verileri proje seviyesinde tutulmalıdır.,
TR_HesapRaporNo,16,TR-TS500 GENEL BETONARME,TEXT,Evet,Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Statik hesap raporu belge numarası,TS500 proje üst verileri proje seviyesinde tutulmalıdır.,
TR_RevizyonStatik,16,TR-TS500 GENEL BETONARME,TEXT,Evet,Statik,Project Information,Project Information,Project Parameter - Project Information,Instance,Structural,Orta,Statik revizyon kodu ve tarihi,TS500 proje üst verileri proje seviyesinde tutulmalıdır.,
TR_BA_ElemanKodu,17,TR-TS500 BA ELEMAN ÖZELLİKLERİ,TEXT,Evet,Statik,Structure - Core,"Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,"BA eleman kodu (K01, P01, KR01, D01, T01)",Betonarme eleman tanımları tip bazında tutulmalıdır.,
TR_BA_ElemanTipi,17,TR-TS500 BA ELEMAN ÖZELLİKLERİ,TEXT,Evet,Statik,Structure - Core,"Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Kolon / Kiriş / Perde / Döşeme / Temel,Betonarme eleman tanımları tip bazında tutulmalıdır.,
TR_BA_TasiyiciSistemAltTuru,17,TR-TS500 BA ELEMAN ÖZELLİKLERİ,TEXT,Evet,Statik,Structure - Core,"Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Alt tür: Çerçeve/Perde+Çerçeve/Perdeli/Tüp,Betonarme eleman tanımları tip bazında tutulmalıdır.,
TR_BA_BetonSinifi,17,TR-TS500 BA ELEMAN ÖZELLİKLERİ,TEXT,Evet,Statik,Structure - Core,"Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,"Bu elemana ait beton sınıfı (C25/30, C30/37)",Betonarme eleman tanımları tip bazında tutulmalıdır.,
TR_BA_DonatiSinifi,17,TR-TS500 BA ELEMAN ÖZELLİKLERİ,TEXT,Evet,Statik,Structure - Core,"Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Donatı sınıfı (B420C / B500C),Betonarme eleman tanımları tip bazında tutulmalıdır.,
TR_BA_NominalBetonOrtusu,17,TR-TS500 BA ELEMAN ÖZELLİKLERİ,LENGTH,Evet,Statik,Structure - Core,"Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Nominal beton örtüsü (mm) — TS 500 Tablo 3,Betonarme eleman tanımları tip bazında tutulmalıdır.,
TR_BA_KesitGenislik,17,TR-TS500 BA ELEMAN ÖZELLİKLERİ,LENGTH,Evet,Statik,Structure - Core,"Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Kesit genişliği b (mm),Betonarme eleman tanımları tip bazında tutulmalıdır.,
TR_BA_KesitYukseklik,17,TR-TS500 BA ELEMAN ÖZELLİKLERİ,LENGTH,Evet,Statik,Structure - Core,"Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Kesit yüksekliği h (mm),Betonarme eleman tanımları tip bazında tutulmalıdır.,
TR_BA_DosemeKalinligi,17,TR-TS500 BA ELEMAN ÖZELLİKLERİ,LENGTH,Evet,Statik,Structure - Core,"Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Döşeme kalınlığı (mm),Betonarme eleman tanımları tip bazında tutulmalıdır.,
TR_BA_PerdeKalinligi,17,TR-TS500 BA ELEMAN ÖZELLİKLERİ,LENGTH,Evet,Statik,Structure - Core,"Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Perde duvar kalınlığı (mm) — TBDY min. 200mm,Betonarme eleman tanımları tip bazında tutulmalıdır.,
TR_BA_TemelTipi,17,TR-TS500 BA ELEMAN ÖZELLİKLERİ,TEXT,Evet,Statik,Structure - Core,"Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Temel tipi: Tekil/Sürekli/Radye/Kazık/Kirişli,Betonarme eleman tanımları tip bazında tutulmalıdır.,
TR_BA_PrecastMi,17,TR-TS500 BA ELEMAN ÖZELLİKLERİ,YESNO,Evet,Statik,Structure - Core,"Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Prefabrik/precast eleman mi?,Betonarme eleman tanımları tip bazında tutulmalıdır.,
TR_BA_ImalatDurumu,17,TR-TS500 BA ELEMAN ÖZELLİKLERİ,TEXT,Evet,Statik,Structure - Core,"Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Planlı / Kalıp / Beton / Tamamlandı,Betonarme eleman tanımları tip bazında tutulmalıdır.,
TR_BA_AnaDonatiUst,18,TR-TS500 BA DONATILAMA,TEXT,Evet,Statik,Structure - Rebar / Concrete,"Rebar, Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Üst ana donatı (örn: 4Ø16 / 3Ø20+2Ø16),Donatı ve örtü bilgileri tip bazlı kontrol için önerilir.,Detay projede instance bazlı donatı modellemesi varsa Rebar kategorisinde instance da tercih edilebilir.
TR_BA_AnaDonatiAlt,18,TR-TS500 BA DONATILAMA,TEXT,Evet,Statik,Structure - Rebar / Concrete,"Rebar, Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Alt ana donatı (örn: 3Ø16),Donatı ve örtü bilgileri tip bazlı kontrol için önerilir.,Detay projede instance bazlı donatı modellemesi varsa Rebar kategorisinde instance da tercih edilebilir.
TR_BA_GovdeDonatisi,18,TR-TS500 BA DONATILAMA,TEXT,Evet,Statik,Structure - Rebar / Concrete,"Rebar, Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Gövde donatısı — kirişler için (TS 500 Md.9),Donatı ve örtü bilgileri tip bazlı kontrol için önerilir.,Detay projede instance bazlı donatı modellemesi varsa Rebar kategorisinde instance da tercih edilebilir.
TR_BA_EtriyeCapi,18,TR-TS500 BA DONATILAMA,LENGTH,Evet,Statik,Structure - Rebar / Concrete,"Rebar, Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Etriye çapı (mm): 8 / 10 / 12,Donatı ve örtü bilgileri tip bazlı kontrol için önerilir.,Detay projede instance bazlı donatı modellemesi varsa Rebar kategorisinde instance da tercih edilebilir.
TR_BA_EtriyeAraligi,18,TR-TS500 BA DONATILAMA,LENGTH,Evet,Statik,Structure - Rebar / Concrete,"Rebar, Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Etriye aralığı orta bölge (mm),Donatı ve örtü bilgileri tip bazlı kontrol için önerilir.,Detay projede instance bazlı donatı modellemesi varsa Rebar kategorisinde instance da tercih edilebilir.
TR_BA_SiklastirmaBolgesiVarMi,18,TR-TS500 BA DONATILAMA,YESNO,Evet,Statik,Structure - Rebar / Concrete,"Rebar, Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Sıklaştırma bölgesi var mı? (TBDY Bölüm 7),Donatı ve örtü bilgileri tip bazlı kontrol için önerilir.,Detay projede instance bazlı donatı modellemesi varsa Rebar kategorisinde instance da tercih edilebilir.
TR_BA_SiklastirmaAraligi,18,TR-TS500 BA DONATILAMA,LENGTH,Evet,Statik,Structure - Rebar / Concrete,"Rebar, Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Sıklaştırma bölgesi etriye aralığı (mm),Donatı ve örtü bilgileri tip bazlı kontrol için önerilir.,Detay projede instance bazlı donatı modellemesi varsa Rebar kategorisinde instance da tercih edilebilir.
TR_BA_PilyeVarMi,18,TR-TS500 BA DONATILAMA,YESNO,Evet,Statik,Structure - Rebar / Concrete,"Rebar, Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Pilye donatısı var mı?,Donatı ve örtü bilgileri tip bazlı kontrol için önerilir.,Detay projede instance bazlı donatı modellemesi varsa Rebar kategorisinde instance da tercih edilebilir.
TR_BA_FilletoVarMi,18,TR-TS500 BA DONATILAMA,YESNO,Evet,Statik,Structure - Rebar / Concrete,"Rebar, Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Filleto (köşe) donatısı var mı?,Donatı ve örtü bilgileri tip bazlı kontrol için önerilir.,Detay projede instance bazlı donatı modellemesi varsa Rebar kategorisinde instance da tercih edilebilir.
TR_BA_PasPayiKontrol,18,TR-TS500 BA DONATILAMA,YESNO,Evet,Statik,Structure - Rebar / Concrete,"Rebar, Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Pas payı TS 500 Tablo 3 kontrolü geçti mi?,Donatı ve örtü bilgileri tip bazlı kontrol için önerilir.,Detay projede instance bazlı donatı modellemesi varsa Rebar kategorisinde instance da tercih edilebilir.
TR_BA_AnkrajBoyu,18,TR-TS500 BA DONATILAMA,LENGTH,Evet,Statik,Structure - Rebar / Concrete,"Rebar, Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Hesaplanan ankraj boyu lb (mm) — TS 500 Md.8,Donatı ve örtü bilgileri tip bazlı kontrol için önerilir.,Detay projede instance bazlı donatı modellemesi varsa Rebar kategorisinde instance da tercih edilebilir.
TR_BA_EkBoyu,18,TR-TS500 BA DONATILAMA,LENGTH,Evet,Statik,Structure - Rebar / Concrete,"Rebar, Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Bindirme ek boyu ls (mm) — TS 500 Md.8,Donatı ve örtü bilgileri tip bazlı kontrol için önerilir.,Detay projede instance bazlı donatı modellemesi varsa Rebar kategorisinde instance da tercih edilebilir.
TR_BA_DonatiNotu,18,TR-TS500 BA DONATILAMA,TEXT,Evet,Statik,Structure - Rebar / Concrete,"Rebar, Structural Columns, Structural Framing, Structural Foundations, Floors, Walls",Project Parameter - Category Set,Type,Structural,Yüksek,Donatı özel notu / pafta açıklaması,Donatı ve örtü bilgileri tip bazlı kontrol için önerilir.,Detay projede instance bazlı donatı modellemesi varsa Rebar kategorisinde instance da tercih edilebilir.
TR_BA_TS500_KontrolDurumu,19,TR-TS500 BA KONTROL VE UYGUNLUK,TEXT,Evet,Statik,Structure - Core,"Structural Columns, Structural Framing, Structural Foundations, Floors, Walls, Rebar",Project Parameter - Category Set,Instance,Structural,Yüksek,TS 500 uyum: Uygun / İncelemede / Revize,"Kontrol, onay ve uygunluk sonuçları instance bazında izlenmelidir.",
TR_BA_TBDY_UyumDurumu,19,TR-TS500 BA KONTROL VE UYGUNLUK,TEXT,Evet,Statik,Structure - Core,"Structural Columns, Structural Framing, Structural Foundations, Floors, Walls, Rebar",Project Parameter - Category Set,Instance,Structural,Yüksek,TBDY 2018 uyum: Uygun / Revize Gerekli,"Kontrol, onay ve uygunluk sonuçları instance bazında izlenmelidir.",
TR_BA_RevizyonGerekiyorMu,19,TR-TS500 BA KONTROL VE UYGUNLUK,YESNO,Evet,Statik,Structure - Core,"Structural Columns, Structural Framing, Structural Foundations, Floors, Walls, Rebar",Project Parameter - Category Set,Instance,Structural,Yüksek,Revizyon gerekiyor mu? (QC bayrağı),"Kontrol, onay ve uygunluk sonuçları instance bazında izlenmelidir.",
TR_BA_KontrolEden,19,TR-TS500 BA KONTROL VE UYGUNLUK,TEXT,Evet,Statik,Structure - Core,"Structural Columns, Structural Framing, Structural Foundations, Floors, Walls, Rebar",Project Parameter - Category Set,Instance,Structural,Yüksek,Kontrol eden mühendis adı soyadı,"Kontrol, onay ve uygunluk sonuçları instance bazında izlenmelidir.",
