ParametreAdı,SemanticAnahtar,StandartParametre_EN,VeriTipi,GrupID,GrupAdı,Disiplin,KategoriKümesi,ÖnerilenRevitKategorileri,BağlamaKapsamı,BağlamaTürü,RevitArayüzGrubu,Öncelik,ZorunluMu,DegerKaynakKurali,AnaKullanim,Açıklama,UygulamaNotu,Description_TR,Description_EN,CeviriKaynagi,GozdenGecirmeDurumu
TR_YapDenetFirmasi,yap_denet_firmasi,EN_BuildingInspectionCompany,TEXT,8,TR-YAPI DENETİM,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Yapı denetim kuruluşu adı,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",Yapı denetim kuruluşu adı,Building inspection organization name,shared_param_definition,guncellendi
TR_YapDenetFirmaYetNo,yap_denet_firma_yet_no,EN_BuildingInspectionAuthorizationNumber,TEXT,8,TR-YAPI DENETİM,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Yapı denetim yetki belgesi no,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",Yapı denetim yetki belgesi no,Building inspection authorization certificate number,shared_param_definition,guncellendi
TR_RuhsatNo,ruhsat_no,EN_PermitNumber,TEXT,8,TR-YAPI DENETİM,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Yapı ruhsatı numarası,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",Yapı ruhsatı numarası,Building permit number,shared_param_definition,guncellendi
TR_RuhsatTarihi,ruhsat_tarihi,EN_PermitDate,TEXT,8,TR-YAPI DENETİM,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Yapı ruhsatı tarihi,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",Yapı ruhsatı tarihi,Building permit date,shared_param_definition,guncellendi
TR_MuteahhitUnvani,muteahhit_unvani,EN_ContractorTitle,TEXT,8,TR-YAPI DENETİM,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Müteahhit firma ünvanı,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",Müteahhit firma ünvanı,Contractor company title,shared_param_definition,guncellendi
TR_MuteahhitYKN,muteahhit_ykn,EN_ContractorBuildingIdentityNumber,TEXT,8,TR-YAPI DENETİM,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Müteahhit YKN (Yapı Kimlik No),"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",Müteahhit YKN (Yapı Kimlik No),Contractor YKN (Building Identity Number),shared_param_definition,guncellendi
TR_IsverenVergiNo,isveren_vergi_no,EN_EmployerTaxNumber,TEXT,8,TR-YAPI DENETİM,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,İşveren vergi / TC kimlik no,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",İşveren vergi / TC kimlik no,Employer tax ID / national ID number,shared_param_definition,guncellendi
TR_YapiSeviyesi,yapi_seviyesi,EN_BuildingLevel,TEXT,8,TR-YAPI DENETİM,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Yapı seviyesi: Temel/Kaba/İnce/Teslim,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",Yapı seviyesi: Temel/Kaba/İnce/Teslim,Construction stage: Foundation / Structural / Finishing / Handover,shared_param_definition,guncellendi
TR_IlIlce,il_ilce,EN_ProvinceDistrict,TEXT,9,TR-İMAR BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,İl / İlçe adı,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",İl / İlçe adı,Province / district name,shared_param_definition,guncellendi
TR_AdaNo,ada_no,EN_BlockNumber,TEXT,9,TR-İMAR BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Ada numarası,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",Ada numarası,Block (ada) number,shared_param_definition,guncellendi
TR_ParselNo,parsel_no,EN_ParcelNumber,TEXT,9,TR-İMAR BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Parsel numarası,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",Parsel numarası,Parcel number,shared_param_definition,guncellendi
TR_TAKS,taks,EN_TAKS,NUMBER,9,TR-İMAR BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Taban alanı kat sayısı TAKS,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",Taban alanı kat sayısı TAKS,Ground coverage ratio TAKS,shared_param_definition,guncellendi
TR_KAKS,kaks,EN_KAKS,NUMBER,9,TR-İMAR BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Kat alanı kat sayısı KAKS (EMSAL),"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",Kat alanı kat sayısı KAKS (EMSAL),Floor area ratio KAKS (FAR / EMSAL),shared_param_definition,guncellendi
TR_MaxYukseklik,max_yukseklik,EN_MaximumHeight,LENGTH,9,TR-İMAR BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,İmar maks. bina yüksekliği (m),"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",İmar maks. bina yüksekliği (m),Zoning maximum building height (m),shared_param_definition,guncellendi
TR_OnCekmeMesafesi,on_cekme_mesafesi,EN_FrontSetbackDistance,LENGTH,9,TR-İMAR BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Ön cephe çekme mesafesi (m),"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",Ön cephe çekme mesafesi (m),Front setback distance (m),shared_param_definition,guncellendi
TR_YanCekmeMesafesi,yan_cekme_mesafesi,EN_SideSetbackDistance,LENGTH,9,TR-İMAR BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Yan cephe çekme mesafesi (m),"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",Yan cephe çekme mesafesi (m),Side setback distance (m),shared_param_definition,guncellendi
TR_ArkaKcekmeMesafesi,arka_kcekme_mesafesi,EN_RearSetbackDistance,LENGTH,9,TR-İMAR BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Arka cephe çekme mesafesi (m),"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",Arka cephe çekme mesafesi (m),Rear setback distance (m),shared_param_definition,guncellendi
TR_ImarDurumu,imar_durumu,EN_ZoningStatus,TEXT,9,TR-İMAR BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,İmar durumu belgesi no,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",İmar durumu belgesi no,Zoning status certificate number,shared_param_definition,guncellendi
TR_LODSeviyesi,lodseviyesi,EN_LODLevel,TEXT,10,TR-BIM YÖNETİM,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,LOD seviyesi (100/200/300/350/400/500),Model sürüm ve koordinasyon üst verileri proje seviyesinde tutulmalıdır.,LOD seviyesi (100/200/300/350/400/500),LOD level (100/200/300/350/400/500),shared_param_definition,guncellendi
TR_LOISeviyesi,loiseviyesi,EN_LOILevel,TEXT,10,TR-BIM YÖNETİM,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,LOI seviyesi (bilgi detay seviyesi),Model sürüm ve koordinasyon üst verileri proje seviyesinde tutulmalıdır.,LOI seviyesi (bilgi detay seviyesi),LOI level (information detail level),shared_param_definition,guncellendi
TR_Disiplin,disiplin,EN_Discipline,TEXT,10,TR-BIM YÖNETİM,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Evet,manual_controlled_list,Project Information,Disiplin kodu (MIM/INS/MEK/ELK/YAN),Model sürüm ve koordinasyon üst verileri proje seviyesinde tutulmalıdır.,Disiplin kodu (MIM/INS/MEK/ELK/YAN),Discipline code (ARCH / STRUCT / MECH / ELEC / FIRE),shared_param_definition,guncellendi
TR_IFCSurumu,ifcsurumu,EN_IFCVersion,TEXT,10,TR-BIM YÖNETİM,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,IFC sürümü (IFC2x3/IFC4/IFC4.3),Model sürüm ve koordinasyon üst verileri proje seviyesinde tutulmalıdır.,IFC sürümü (IFC2x3/IFC4/IFC4.3),IFC version (IFC2x3 / IFC4 / IFC4.3),shared_param_definition,guncellendi
TR_KoordinatSistemi,koordinat_sistemi,EN_CoordinateSystem,TEXT,10,TR-BIM YÖNETİM,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Koordinat sistemi (ITRF96 Türkiye),Model sürüm ve koordinasyon üst verileri proje seviyesinde tutulmalıdır.,Koordinat sistemi (ITRF96 Türkiye),Coordinate system (ITRF96 Turkey),shared_param_definition,guncellendi
TR_ModelDurumu,model_durumu,EN_ModelStatus,TEXT,10,TR-BIM YÖNETİM,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Model durum kodu S0/S1/S2/S3/S4,Model sürüm ve koordinasyon üst verileri proje seviyesinde tutulmalıdır.,Model durum kodu S0/S1/S2/S3/S4,Model status code S0/S1/S2/S3/S4,shared_param_definition,guncellendi
TR_OlusturmaTarihi,olusturma_tarihi,EN_CreationDate,TEXT,10,TR-BIM YÖNETİM,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Model oluşturma tarihi (YYYY-AA-GG),Model sürüm ve koordinasyon üst verileri proje seviyesinde tutulmalıdır.,Model oluşturma tarihi (YYYY-AA-GG),Model creation date (YYYY-MM-DD),shared_param_definition,guncellendi
TR_SonGuncellemeTarihi,son_guncelleme_tarihi,EN_LastUpdateDate,TEXT,10,TR-BIM YÖNETİM,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Son güncelleme tarihi,Model sürüm ve koordinasyon üst verileri proje seviyesinde tutulmalıdır.,Son güncelleme tarihi,Last update date,shared_param_definition,guncellendi
TR_ModelSorumlusu,model_sorumlusu,EN_ModelManager,TEXT,10,TR-BIM YÖNETİM,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,BIM model sorumlusu adı,Model sürüm ve koordinasyon üst verileri proje seviyesinde tutulmalıdır.,BIM model sorumlusu adı,BIM model manager name,shared_param_definition,guncellendi
TR_FazBilgisi,faz_bilgisi,EN_PhaseInformation,TEXT,10,TR-BIM YÖNETİM,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Proje fazı (Var/Yıkılacak/Yeni İnşaat),Model sürüm ve koordinasyon üst verileri proje seviyesinde tutulmalıdır.,Proje fazı (Var/Yıkılacak/Yeni İnşaat),Project phase (Existing / To be demolished / New construction),shared_param_definition,guncellendi
bSTR_Grup,b_sgrup,EN_bSTRGroupCode,TEXT,10,TR-BIM YÖNETİM,Ortak / BIM,All Model Categories,"Walls, Doors, Windows, Floors, Roofs, Ceilings, Curtain Panels, Curtain Wall Mullions, Stairs, Railings, Generic Models, Structural Columns, Structural Framing, Structural Foundations, Rebar, Mechanical Equipment, Ducts, Duct Fittings, Duct Accessories, Air Terminals, Pipes, Pipe Fittings, Pipe Accessories, Plumbing Fixtures, Sprinklers, Fire Alarm Devices, Electrical Equipment, Electrical Fixtures, Lighting Fixtures, Lighting Devices, Cable Trays, Cable Tray Fittings, Conduits, Conduit Fittings, Data Devices, Communication Devices, Security Devices",Project Parameter - Multi-Category,Type,Identity Data,Orta,Hayır,manual,All Model Categories,bSTR grup kodu (Bakanlık CADD standardı),bSTR kodları aile / tip sınıflandırması için tip bazında tutulmalıdır.,bSTR grup kodu (Bakanlık CADD standardı),bSTR group code (Ministry CADD standard),shared_param_definition,guncellendi
bSTR_LOD,b_slod,EN_bSTRLodLevel,TEXT,10,TR-BIM YÖNETİM,Ortak / BIM,All Model Categories,"Walls, Doors, Windows, Floors, Roofs, Ceilings, Curtain Panels, Curtain Wall Mullions, Stairs, Railings, Generic Models, Structural Columns, Structural Framing, Structural Foundations, Rebar, Mechanical Equipment, Ducts, Duct Fittings, Duct Accessories, Air Terminals, Pipes, Pipe Fittings, Pipe Accessories, Plumbing Fixtures, Sprinklers, Fire Alarm Devices, Electrical Equipment, Electrical Fixtures, Lighting Fixtures, Lighting Devices, Cable Trays, Cable Tray Fittings, Conduits, Conduit Fittings, Data Devices, Communication Devices, Security Devices",Project Parameter - Multi-Category,Type,Identity Data,Orta,Hayır,manual,All Model Categories,bSTR LOD seviyesi,bSTR kodları aile / tip sınıflandırması için tip bazında tutulmalıdır.,bSTR LOD seviyesi,bSTR LOD level,shared_param_definition,guncellendi
bSTR_Disiplin,b_sdisiplin,EN_bSTRDisciplineCode,TEXT,10,TR-BIM YÖNETİM,Ortak / BIM,All Model Categories,"Walls, Doors, Windows, Floors, Roofs, Ceilings, Curtain Panels, Curtain Wall Mullions, Stairs, Railings, Generic Models, Structural Columns, Structural Framing, Structural Foundations, Rebar, Mechanical Equipment, Ducts, Duct Fittings, Duct Accessories, Air Terminals, Pipes, Pipe Fittings, Pipe Accessories, Plumbing Fixtures, Sprinklers, Fire Alarm Devices, Electrical Equipment, Electrical Fixtures, Lighting Fixtures, Lighting Devices, Cable Trays, Cable Tray Fittings, Conduits, Conduit Fittings, Data Devices, Communication Devices, Security Devices",Project Parameter - Multi-Category,Type,Identity Data,Orta,Hayır,manual,All Model Categories,bSTR disiplin kodu,bSTR kodları aile / tip sınıflandırması için tip bazında tutulmalıdır.,bSTR disiplin kodu,bSTR discipline code,shared_param_definition,guncellendi
bSTR_Kod,b_skod,EN_bSTRElementCode,TEXT,10,TR-BIM YÖNETİM,Ortak / BIM,All Model Categories,"Walls, Doors, Windows, Floors, Roofs, Ceilings, Curtain Panels, Curtain Wall Mullions, Stairs, Railings, Generic Models, Structural Columns, Structural Framing, Structural Foundations, Rebar, Mechanical Equipment, Ducts, Duct Fittings, Duct Accessories, Air Terminals, Pipes, Pipe Fittings, Pipe Accessories, Plumbing Fixtures, Sprinklers, Fire Alarm Devices, Electrical Equipment, Electrical Fixtures, Lighting Fixtures, Lighting Devices, Cable Trays, Cable Tray Fittings, Conduits, Conduit Fittings, Data Devices, Communication Devices, Security Devices",Project Parameter - Multi-Category,Type,Identity Data,Orta,Evet,manual_controlled_list,All Model Categories,"bSTR eleman kodu (örn: S-BET-09, M-DUV-01)",bSTR kodları aile / tip sınıflandırması için tip bazında tutulmalıdır.,"bSTR eleman kodu (örn: S-BET-09, M-DUV-01)","bSTR element code (e.g. S-BET-09, M-DUV-01)",shared_param_definition,guncellendi
bSTR_Eleman,b_seleman,EN_bSTRElementName,TEXT,10,TR-BIM YÖNETİM,Ortak / BIM,All Model Categories,"Walls, Doors, Windows, Floors, Roofs, Ceilings, Curtain Panels, Curtain Wall Mullions, Stairs, Railings, Generic Models, Structural Columns, Structural Framing, Structural Foundations, Rebar, Mechanical Equipment, Ducts, Duct Fittings, Duct Accessories, Air Terminals, Pipes, Pipe Fittings, Pipe Accessories, Plumbing Fixtures, Sprinklers, Fire Alarm Devices, Electrical Equipment, Electrical Fixtures, Lighting Fixtures, Lighting Devices, Cable Trays, Cable Tray Fittings, Conduits, Conduit Fittings, Data Devices, Communication Devices, Security Devices",Project Parameter - Multi-Category,Type,Identity Data,Orta,Hayır,manual,All Model Categories,bSTR eleman adı,bSTR kodları aile / tip sınıflandırması için tip bazında tutulmalıdır.,bSTR eleman adı,bSTR element name,shared_param_definition,guncellendi
TR_DuvarTipi,duvar_tipi,EN_WallType,TEXT,11,TR-DUVAR ÖZELLİKLERİ,Mimari,Architecture - Walls,Walls,Project Parameter - Category Set,Type,Identity Data,Yüksek,Hayır,manual,Architecture - Walls,Duvar tipi: Dış/İç/Yangın/Strüktürel,Duvar tip özellikleri tip bazında bağlanmalıdır.,Duvar tipi: Dış/İç/Yangın/Strüktürel,Wall type: External / Internal / Fire / Structural,shared_param_definition,guncellendi
TR_DuvarKalinligi,duvar_kalinligi,EN_WallThickness,LENGTH,11,TR-DUVAR ÖZELLİKLERİ,Mimari,Architecture - Walls,Walls,Project Parameter - Category Set,Type,Identity Data,Yüksek,Hayır,manual,Architecture - Walls,Duvar toplam kalınlığı (mm),Duvar tip özellikleri tip bazında bağlanmalıdır.,Duvar toplam kalınlığı (mm),Total wall thickness (mm),shared_param_definition,guncellendi
TR_DuvarYapimTuru,duvar_yapim_turu,EN_WallConstructionType,TEXT,11,TR-DUVAR ÖZELLİKLERİ,Mimari,Architecture - Walls,Walls,Project Parameter - Category Set,Type,Identity Data,Yüksek,Hayır,manual,Architecture - Walls,Yapım türü: Tuğla/YTong/Beton/Çelik vb,Duvar tip özellikleri tip bazında bağlanmalıdır.,Yapım türü: Tuğla/YTong/Beton/Çelik vb,Construction type: Brick / Ytong / Concrete / Steel etc.,shared_param_definition,guncellendi
TR_DuvarYalitimTipi,duvar_yalitim_tipi,EN_WallInsulationType,TEXT,11,TR-DUVAR ÖZELLİKLERİ,Mimari,Architecture - Walls,Walls,Project Parameter - Category Set,Type,Identity Data,Yüksek,Hayır,manual,Architecture - Walls,Isı yalıtım tipi ve kalınlığı,Duvar tip özellikleri tip bazında bağlanmalıdır.,Isı yalıtım tipi ve kalınlığı,Thermal insulation type and thickness,shared_param_definition,guncellendi
TR_DuvarREI,duvar_rei,EN_WallREI,TEXT,11,TR-DUVAR ÖZELLİKLERİ,Mimari,Architecture - Walls,Walls,Project Parameter - Category Set,Type,Identity Data,Yüksek,Hayır,manual,Architecture - Walls,Yangın direnç sınıfı REI-30/60/90/120,Duvar tip özellikleri tip bazında bağlanmalıdır.,Yangın direnç sınıfı REI-30/60/90/120,Fire resistance class REI-30/60/90/120,shared_param_definition,guncellendi
TR_DuvarSesYalitim,duvar_ses_yalitim,EN_WallAcousticInsulation,NUMBER,11,TR-DUVAR ÖZELLİKLERİ,Mimari,Architecture - Walls,Walls,Project Parameter - Category Set,Type,Identity Data,Yüksek,Hayır,manual,Architecture - Walls,Ses yalıtım değeri Rw (dB),Duvar tip özellikleri tip bazında bağlanmalıdır.,Ses yalıtım değeri Rw (dB),Sound insulation value Rw (dB),shared_param_definition,guncellendi
TR_DuvarUDegeri,duvar_udegeri,EN_WallUValue,NUMBER,11,TR-DUVAR ÖZELLİKLERİ,Mimari,Architecture - Walls,Walls,Project Parameter - Category Set,Type,Dimensions,Yüksek,Hayır,manual,Architecture - Walls,U değeri (W/m2K),Duvar tip özellikleri tip bazında bağlanmalıdır.,Dış duvar U değeri (W/m2K),U value (W/m2K),shared_param_definition,guncellendi
TR_DuvarDisKaplama,duvar_dis_kaplama,EN_WallExteriorCladding,TEXT,11,TR-DUVAR ÖZELLİKLERİ,Mimari,Architecture - Walls,Walls,Project Parameter - Category Set,Type,Identity Data,Yüksek,Hayır,manual,Architecture - Walls,Dış kaplama malzemesi,Duvar tip özellikleri tip bazında bağlanmalıdır.,Dış kaplama malzemesi,External cladding material,shared_param_definition,guncellendi
TR_DuvarIcKaplama,duvar_ic_kaplama,EN_WallInteriorCladding,TEXT,11,TR-DUVAR ÖZELLİKLERİ,Mimari,Architecture - Walls,Walls,Project Parameter - Category Set,Type,Identity Data,Yüksek,Hayır,manual,Architecture - Walls,İç kaplama malzemesi,Duvar tip özellikleri tip bazında bağlanmalıdır.,İç kaplama malzemesi,Internal cladding material,shared_param_definition,guncellendi
TR_DuvarPozNo,duvar_poz_no,EN_WallItemNumber,TEXT,11,TR-DUVAR ÖZELLİKLERİ,Mimari,Architecture - Walls,Walls,Project Parameter - Category Set,Type,Identity Data,Yüksek,Hayır,manual,Architecture - Walls,ÇŞB poz numarası,Duvar tip özellikleri tip bazında bağlanmalıdır.,ÇŞB poz numarası,MoEUA unit price item number,shared_param_definition,guncellendi
TR_KapiTipi,kapi_tipi,EN_DoorType,TEXT,12,TR-KAPI ÖZELLİKLERİ,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Hayır,manual,Architecture - Doors,Kapı tipi: Ahşap/Çelik/Alüm/Cam/PVC,Kapı tip özellikleri tip bazında bağlanmalıdır.,Kapı tipi: Ahşap/Çelik/Alüm/Cam/PVC,Door type: Timber / Steel / Aluminium / Glass / PVC,shared_param_definition,guncellendi
TR_KapiGenislik,kapi_genislik,EN_DoorWidth,LENGTH,12,TR-KAPI ÖZELLİKLERİ,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Dimensions,Yüksek,Evet,builtin:Width,Architecture - Doors,Kapı serbest geçiş genişliği (mm),Kapı tip özellikleri tip bazında bağlanmalıdır.,Kapı serbest geçiş genişliği (mm),Door clear passage width (mm),shared_param_definition,guncellendi
TR_KapiYukseklik,kapi_yukseklik,EN_DoorHeight,LENGTH,12,TR-KAPI ÖZELLİKLERİ,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Dimensions,Yüksek,Evet,builtin:Height | fallback:builtin:Rough Height,Architecture - Doors,Kapı yüksekliği (mm),Kapı tip özellikleri tip bazında bağlanmalıdır.,Kapı yüksekliği (mm),Door height (mm),shared_param_definition,guncellendi
TR_KapiYangınSinifi,kapi_yangin_sinifi,EN_DoorFireClass,TEXT,12,TR-KAPI ÖZELLİKLERİ,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Fire Protection,Yüksek,Hayır,manual,Architecture - Doors,Yangın sınıfı: EI30/EI60/EI90/EI120,Kapı tip özellikleri tip bazında bağlanmalıdır.,Yangın sınıfı: EI30/EI60/EI90/EI120,Fire class: EI30/EI60/EI90/EI120,shared_param_definition,guncellendi
TR_KapiEngelli,kapi_engelli,EN_DoorAccessible,YESNO,12,TR-KAPI ÖZELLİKLERİ,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Hayır,manual,Architecture - Doors,Engelliye uygun kapı mı? (TS 9111),Kapı tip özellikleri tip bazında bağlanmalıdır.,Engelliye uygun kapı mı? (TS 9111),Is it an accessible door? (TS 9111),shared_param_definition,guncellendi
TR_KapiPanikBar,kapi_panik_bar,EN_DoorPanicBar,YESNO,12,TR-KAPI ÖZELLİKLERİ,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Hayır,manual,Architecture - Doors,Panik bar var mı?,Kapı tip özellikleri tip bazında bağlanmalıdır.,Panik bar var mı?,Is there a panic bar?,shared_param_definition,guncellendi
TR_KapiAcilisYonu,kapi_acilis_yonu,EN_DoorOpeningDirection,TEXT,12,TR-KAPI ÖZELLİKLERİ,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Hayır,manual,Architecture - Doors,Açılış yönü: İçe/Dışa/Sürgülü/Döner,Kapı tip özellikleri tip bazında bağlanmalıdır.,Açılış yönü: İçe/Dışa/Sürgülü/Döner,Opening direction: Inward / Outward / Sliding / Revolving,shared_param_definition,guncellendi
TR_KapiKilitTipi,kapi_kilit_tipi,EN_DoorLockType,TEXT,12,TR-KAPI ÖZELLİKLERİ,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Hayır,manual,Architecture - Doors,Kilit tipi ve aksesuar bilgisi,Kapı tip özellikleri tip bazında bağlanmalıdır.,Kilit tipi ve aksesuar bilgisi,Lock type and hardware information,shared_param_definition,guncellendi
TR_KapiUretici,kapi_uretici,EN_DoorManufacturer,TEXT,12,TR-KAPI ÖZELLİKLERİ,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Hayır,manual,Architecture - Doors,Üretici firma ve ürün kodu,Kapı tip özellikleri tip bazında bağlanmalıdır.,Üretici firma ve ürün kodu,Manufacturer company and product code,shared_param_definition,guncellendi
TR_KapiPozNo,kapi_poz_no,EN_DoorItemNumber,TEXT,12,TR-KAPI ÖZELLİKLERİ,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Hayır,manual,Architecture - Doors,ÇŞB poz numarası,Kapı tip özellikleri tip bazında bağlanmalıdır.,ÇŞB poz numarası,MoEUA unit price item number,shared_param_definition,guncellendi
TR_KapiUDegeri,kapi_udegeri,EN_DoorUValue,NUMBER,12,TR-KAPI ÖZELLİKLERİ,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Dimensions,Yüksek,Hayır,manual,Architecture - Doors,Kapı Ud değeri (W/m2K),Kapı tip özellikleri tip bazında bağlanmalıdır.,Kapı Ud değeri (W/m2K),Door Ud value (W/m2K),shared_param_definition,guncellendi
TR_KapiSesYalitim,kapi_ses_yalitim,EN_DoorAcousticInsulation,NUMBER,12,TR-KAPI ÖZELLİKLERİ,Mimari,Architecture - Doors,Doors,Project Parameter - Category Set,Type,Identity Data,Yüksek,Hayır,manual,Architecture - Doors,Ses yalıtım değeri Rw (dB),Kapı tip özellikleri tip bazında bağlanmalıdır.,Ses yalıtım değeri Rw (dB),Sound insulation value Rw (dB),shared_param_definition,guncellendi
TR_PencereTipi,pencere_tipi,EN_WindowType,TEXT,13,TR-PENCERE ÖZELLİKLERİ,Mimari,Architecture - Windows,"Windows, Curtain Panels",Project Parameter - Category Set,Type,Identity Data,Yüksek,Hayır,manual,Architecture - Windows,Pencere tipi: Alüm/PVC/Ahşap/Cam Giyd,Pencere tip özellikleri tip bazında bağlanmalıdır.,Pencere tipi: Alüm/PVC/Ahşap/Cam Giyd,Window type: Aluminium / PVC / Timber / Curtain wall,shared_param_definition,guncellendi
TR_PencereGenislik,pencere_genislik,EN_WindowWidth,LENGTH,13,TR-PENCERE ÖZELLİKLERİ,Mimari,Architecture - Windows,"Windows, Curtain Panels",Project Parameter - Category Set,Type,Dimensions,Yüksek,Evet,builtin:Width,Architecture - Windows,Pencere genişliği (mm),Pencere tip özellikleri tip bazında bağlanmalıdır.,Pencere genişliği (mm),Window width (mm),shared_param_definition,guncellendi
TR_PencereYukseklik,pencere_yukseklik,EN_WindowHeight,LENGTH,13,TR-PENCERE ÖZELLİKLERİ,Mimari,Architecture - Windows,"Windows, Curtain Panels",Project Parameter - Category Set,Type,Dimensions,Yüksek,Evet,builtin:Height,Architecture - Windows,Pencere yüksekliği (mm),Pencere tip özellikleri tip bazında bağlanmalıdır.,Pencere yüksekliği (mm),Window height (mm),shared_param_definition,guncellendi
